Id,Category
1,1
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,0
175,0
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,0
191,1
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,0
349,0
350,1
351,0
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,0
361,0
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,0
375,0
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,0
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,1
483,1
484,1
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,1
527,0
528,0
529,0
530,1
531,0
532,1
533,1
534,0
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,0
545,1
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,1
571,0
572,1
573,0
574,0
575,0
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,0
588,0
589,0
590,1
591,1
592,1
593,0
594,0
595,1
596,0
597,0
598,1
599,0
600,0
601,0
